Timestamp,Category,Product Name,Current Price,Original Price
2025-04-03 19:08:20,SPECIAL OFFERS!,Masterpro BGMP-2145 Set 6Pc Cookware Stainless Steel Ind Smart,USD123.00,USD123.00
2025-04-03 19:08:20,SPECIAL OFFERS!,Bialetti 0005327 Moka Express Dolce&Gabbana 'Exclusively at Beytech',USD100.00,USD100.00
2025-04-03 19:08:20,SPECIAL OFFERS!,Bergner BG-3210 Kitchen Tongs 30.5Cm Ss + Black Silicon,USD9.00,USD9.00
2025-04-03 19:08:20,SPECIAL OFFERS!,San Ignacio Bgeu-1594 Rectangular Baking Dish 39X25X7Cm 3.8L,USD22.00,USD22.00
2025-04-03 19:08:20,TRENDING,Beurer BF600 Diagnostic Scale,USD60.00,USD60.00
2025-04-03 19:08:20,TRENDING,Haier HDWE1338CS1IQ Freestanding dishwasher 13 place settings Silver color,USD429.00,USD429.00
2025-04-03 19:08:20,TRENDING,Babyliss W2447E - Deep waves,USD99.00,USD99.00
2025-04-03 19:08:20,ON SALE,"Haier AS12PB3HRA Air conditioner 12,000 BTU INVERTER heat and cool smart",USD444.00,USD515.00
2025-04-03 19:08:20,ON SALE,Sensus AC-205 Air Cooler,USD159.00,USD159.00
2025-04-03 19:08:20,ON SALE,Ufesa AF5600 Air Fryer 5 Liters,USD119.00,USD178.00
